Symbol,Year,Month,Day,dayOfWeek,closeDay0,highDay0,openDay0,lowDay0,volumeDay0,closeDay260,highDay260,openDay260,lowDay260,volumeDay260,Sector,Industry,exactDateFounded,IPODATE,markReturn6mo,markReturn3mo
ABTX,2015,10,8,3,23.12,23.47,22.16,22.55,1239681.0,27.23,27.5,27.15,27.5,50552.0,Finance,Major Banks,"April,30,2008",2015-10-08,-0.041342019466049804,-0.024845162077996096
ABUS,2007,7,23,0,7.218,7.266,7.1705,7.218,2000.0,4.77,4.77,4.661,4.77,120.0,Health Care,Major Pharmaceuticals,"October,6,2005",2007-07-23,0.07430723329800563,0.03590306087837571
AC,2015,11,9,0,26.0,26.0,22.0,22.0,700.0,33.85,34.3,33.2,33.45,16025.0,Finance,Investment Bankers/Brokers/Service,1976,2015-11-09,-0.0029117177476438616,-0.0023667084710132743
ACAD,2004,5,27,3,6.7,7.5,6.5,7.44,1919155.0,8.52,9.1,8.5,9.1,44185.0,Health Care,Major Pharmaceuticals,"July,16,1993",2004-05-27,0.05361934686496614,-0.02620224774685831
ACBI,2015,11,2,0,15.0,15.0,13.8,13.8,1777.0,15.05,15.15,14.4,14.4,65272.0,Finance,Major Banks,2006,2015-11-02,-0.0166138799307374,-0.008903515325175608
ACC,2004,8,12,3,17.5,17.58,17.5,17.5,2545100.0,24.5,24.5,22.93,23.0,386000.0,Consumer Services,Real Estate Investment Trusts,1993,2004-08-12,-0.06624362887174676,-0.01958478206164524
ACCO,2005,8,9,1,26.9,26.9,26.9,26.9,100.0,18.36,19.36,18.26,19.36,307000.0,Consumer Durables,Publishing,"August,17,2005",2005-08-09,0.026124392741179475,0.037570866569390654
ACFC,2004,10,5,1,59.949,61.2245,58.0102,58.0102,426013.0,71.2245,71.4286,71.1735,71.1735,622.0,Finance,Savings Institutions,"June,22,2007",2004-10-05,-0.0133845859553514,0.01698612597211371
ACGLP,2016,9,23,4,24.92,24.98,24.85,24.88,3053376.0,24.65,24.72,24.63,24.72,58950.0,Finance,Property-Casualty Insurers,"September,2000",2016-09-23,0.0689690596094824,0.030217790592802187
ACH,2001,12,11,1,4.5675,4.65,4.4875,4.5875,15192400.0,3.2475,3.2525,3.2475,3.25,5600.0,Basic Industries,Aluminum,"September,10,2001",2001-12-11,-0.09124750643808274,0.09738443763070526
ACHC,2011,11,1,1,9.0,10.0,8.7,10.0,1924.0,21.04,21.04,21.04,21.04,0.0,Health Care,Medical Specialities,"December,2005",2011-11-01,-0.07928176503262364,-0.026139442483513572
ACHN,2006,10,26,3,12.39,12.75,11.6,11.6,361420.0,5.5199,5.55,5.2701,5.28,22860.0,Health Care,Major Pharmaceuticals,"August,17,1998",2006-10-26,0.058839701329325575,0.08973505526510979
ACIA,2016,5,13,4,30.95,31.94,29.0,29.0,4191956.0,47.71,47.81,44.9801,46.06,1008133.0,Technology,Semiconductors,"June,2009",2016-05-13,0.020301164369642105,0.08890690726544347
ACLS,2000,7,11,1,95.752,120.0,95.0,110.0,4361075.0,51.56,54.56,51.08,54.4,208100.0,Technology,Industrial Machinery/Components,1978,2000-07-11,0.025761827809723196,-0.016640102407638663
ACM,2007,5,10,3,21.1,21.99,21.1,21.75,20005800.0,29.75,29.99,29.17,29.6,1997256.0,Consumer Services,Military/Government/Technical,"April,6,1990",2007-05-10,0.09535804860058486,0.05526134997058039
ACN,2001,7,19,3,15.17,15.29,15.0,15.1,33703500.0,13.9,15.05,13.83,14.75,9051100.0,Miscellaneous,Business Services,1989,2001-07-19,-0.10042909276594258,-0.03667571937059236
ACOR,2006,2,10,4,6.72,7.48,6.1,6.5,932539.0,21.77,22.08,21.25,21.66,319021.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1995,2006-02-10,0.028190691201429172,0.02666217375127231
ACRE,2012,4,26,3,18.0,18.2,17.94,18.0,3160539.0,16.7,16.92,16.62,16.9,43840.0,Consumer Services,Real Estate Investment Trusts,1997,2012-04-26,0.11971814928039452,0.05480752467066812
ACRS,2015,10,7,2,11.05,11.98,11.0,11.94,1158745.0,25.1,25.5,24.6,24.84,48760.0,Health Care,Major Pharmaceuticals,"July,2012",2015-10-07,-0.04643290351346699,-0.04872824222018355
ACRX,2011,2,11,4,4.55,5.09,4.51,5.0,1129118.0,3.21,3.28,3.21,3.24,3000.0,Health Care,Major Pharmaceuticals,"July,13,2005",2011-02-11,0.21331475916135215,0.08926772299855552
ACST,2011,5,6,4,10.974,11.391,10.87,10.87,2000.0,24.0,24.132,24.0,24.132,0.0,Health Care,Major Pharmaceuticals,"February,1,2002",2011-05-06,0.09143672641400981,0.012167792095585479
ACTG,2002,12,16,0,1.85,3.21,1.79,2.0,14200.0,5.0,5.66,4.9,5.57,99732.0,Miscellaneous,Multi-Sector Companies,"January,25,1993",2002-12-16,-0.141569488843768,-0.001817972350546056
ADAP,2015,5,6,2,16.0,19.5,15.51,19.5,8301712.0,9.15,9.7,9.1,9.7,105373.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"December,3,2014",2015-05-06,0.028677488354337755,0.01653635943061132
ADES,2003,10,22,2,1.5,1.5,1.0,1.0,4400.0,7.475,7.595,7.475,7.54,800.0,Basic Industries,Major Chemicals,1996,2003-10-22,0.14775561506429932,0.05861700094519838
ADMA,2013,10,17,3,8.55,8.91,7.0,7.0,145708.0,11.7,11.7,11.7,11.7,0.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"June,2,2006",2013-10-17,0.10923256179415775,0.024171433364451673
ADMS,2014,4,10,3,14.01,17.24,14.0,16.85,2331496.0,17.14,17.33,16.91,17.27,62299.0,Health Care,Major Pharmaceuticals,"November,15,2000",2014-04-10,0.10612326233576806,0.016180277942408564
ADNT,2016,10,17,0,49.35,54.0,48.12,50.6,2547887.0,85.07,85.18,83.63,84.03,507008.0,Capital Goods,Auto Parts:O.E.M.,"December,17,2015",2016-10-17,0.01844967433968295,-0.015649116378972823
ADRO,2015,4,15,2,42.0,42.0,30.6,31.55,6884160.0,13.3,13.38,12.85,13.08,621656.0,Health Care,Major Pharmaceuticals,2000,2015-04-15,0.12528931638815696,0.0517747753868196
ADS,2001,6,8,4,14.0,14.0,12.5,13.19,7780200.0,21.25,21.96,21.2,21.96,95900.0,Miscellaneous,Business Services,1996,2001-06-08,-0.06783760208281149,0.009662041840600342
ADSW,2016,10,6,3,20.0,21.5,19.51,20.5,11662315.0,24.67,24.85,24.57,24.61,171700.0,Public Utilities,Environmental Services,"July,20,2012",2016-10-06,0.04503405123118748,0.028575102778979906
ADVM,2014,7,31,3,27.99,28.95,24.05,25.0,6316019.0,14.28,14.58,14.01,14.15,264631.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"July,17,2006",2014-07-31,0.1051728014089182,0.04571246442275083
AEHR,1997,8,15,4,14.75,15.375,14.125,14.75,2919400.0,4.5,4.5,4.438,4.44,25200.0,Capital Goods,Electrical Products,"May,25,1977",1997-08-15,0.13289400142589086,0.09845822940048989
AEL,2003,12,4,3,9.05,9.35,9.0,9.0,4599300.0,9.79,9.88,9.7,9.73,3318500.0,Finance,Life Insurance,"December,15,1995",2003-12-04,0.07958508173626405,0.03575980895675521
AEMD,1998,11,6,4,400.0,400.0,400.0,400.0,8.0,350.0,350.0,350.0,350.0,0.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,"May,1998",1998-11-06,0.026182828159516013,0.040582556009808826
AER,2006,11,21,1,23.02,25.1,23.0,25.0,16000699.0,21.2,21.69,20.41,20.44,337700.0,Technology,Diversified Commercial Services,1995,2006-11-21,0.10968492999771638,0.07936677578659108
AERI,2013,10,25,4,10.61,10.86,10.25,10.55,2678805.0,23.42,23.7,22.5,22.5,254407.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"June,22,2005",2013-10-25,0.10529530678948139,0.03657443945514717
AEUA,2015,6,5,4,50.25,51.1,49.35,49.75,4358662.0,39.0,39.63,38.9,39.37,14829.0,Energy,Oil & Gas Production,1959,2015-06-05,0.0098632868101934,-0.0024749414933545283
AEZS,2000,3,7,1,4435.5704,4884.4078,4435.5704,4435.5704,12.0,1608.8909,1629.6827,1547.1758,1610.5345,26.0,Health Care,Major Pharmaceuticals,"September,12,1990",2000-03-07,0.030234425266607648,-0.012695426449990433
AFH,2013,2,12,1,5.95,5.98,5.85,5.85,171083.0,12.79,13.0,12.7525,12.99,7788.0,Finance,Property-Casualty Insurers,"December,31,2010",2013-02-12,0.0804068239610122,0.09925869550718491
AFI,2016,3,17,3,12.81,12.81,12.81,12.81,1099.0,18.88,18.95,18.53,18.53,265278.0,Consumer Non-Durables,Plastic Products,2016,2016-03-17,0.018601155883584346,-0.007184541694249049
AFMD,2014,9,12,4,5.7,7.0,5.63,6.95,3576217.0,8.34,8.45,7.75,8.15,251815.0,Health Care,Major Pharmaceuticals,2000,2014-09-12,0.06918424332412851,0.03488918576215063
AFSI,2006,11,13,0,3.2231,3.3471,3.0992,3.1157,1856711.0,5.3967,5.6983,5.343,5.4215,617267.0,Finance,Property-Casualty Insurers,1998,2006-11-13,0.06674393542994399,0.08885757638526867
AG,2008,10,27,0,0.71,0.739,0.668,0.7289,83035.0,2.89,3.17,2.77,3.1332,219895.0,Basic Industries,Precious Metals,"September,26,1979",2008-10-27,-0.37210766301400733,-0.2897024206684382
AGEN,2000,2,4,4,368.25,384.0,240.0,258.0,881166.0,96.75,102.0,90.8437,92.25,17016.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"March,1994",2000-02-04,0.09165499810488155,0.04574205614442395
AGI,2008,10,27,0,3.0965,3.222,3.0955,3.222,30100.0,8.67,8.9975,8.661,8.9975,6900.0,Basic Industries,Precious Metals,"February,21,2003",2008-10-27,-0.37210766301400733,-0.2897024206684382
AGIO,2013,7,24,2,31.28,32.0,27.16,29.0,6203443.0,39.36,39.48,37.0,37.83,329824.0,Health Care,Major Pharmaceuticals,"August,7,2007",2013-07-24,0.13216981004959755,0.07195382082179477
AGLE,2016,4,7,3,9.77,10.72,9.61,10.0,1429297.0,7.05,7.3099,6.56,7.13,78118.0,Health Care,Major Pharmaceuticals,"December,2013",2016-04-07,0.035488973316495656,0.0635945573610613
AGNCB,2014,5,7,2,24.73,24.75,24.56,24.7,480300.0,24.26,24.9,24.22,24.8487,70621.0,Consumer Services,Real Estate Investment Trusts,"January,7,2008",2014-05-07,0.0690094980993391,0.039342884555241056
AGO,2004,4,23,4,18.0,18.4,18.0,18.22,20894800.0,18.68,18.68,18.38,18.45,1817800.0,Finance,Property-Casualty Insurers,"August,2003",2004-04-23,0.10269211930505048,-0.0014191187840169861
AGR,2015,12,17,3,36.12,38.75,36.12,38.75,1181540.0,36.87,36.92,35.89,36.1,339214.0,Public Utilities,Electric Utilities: Central,1852,2015-12-17,-0.013030543034023052,0.04163909115699867
AGRO,2011,1,28,4,12.0,12.11,10.75,10.75,8790447.0,9.37,9.44,9.31,9.4,102877.0,Consumer Non-Durables,Farming/Seeds/Milling,2002,2011-01-28,0.17485289552395614,0.09778844624907425
AGRX,2014,5,23,4,5.54,6.06,5.05,5.5,3329708.0,10.87,11.3,10.87,11.23,20258.0,Health Care,Major Pharmaceuticals,"December,22,1997",2014-05-23,0.04993675976485306,0.02429084343483495
AGTC,2014,3,27,3,14.76,16.82,12.5,12.75,1566063.0,20.2,20.77,19.3,20.0,57030.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"January,19,1999",2014-03-27,0.09505545062435349,0.006060624542045744
AHC,2008,1,23,2,20.0,20.3,19.7,20.3,6000.0,2.17,2.18,1.96,1.96,73526.0,Consumer Services,Newspapers/Magazines,1842,2008-01-23,-0.14989261229781017,-0.13759630592680344
AHGP,2006,5,10,2,25.0,26.25,24.95,25.9,5216148.0,28.65,29.01,27.6601,28.24,31941.0,Energy,Coal Mining,"November,2005",2006-05-10,0.07650943710566338,0.045896198756318174
AHH,2013,5,8,2,11.58,11.68,11.25,11.5,4633889.0,9.44,9.46,9.32,9.37,65666.0,Finance,Real Estate,"October,12,2012",2013-05-08,0.18036163034063707,0.07116922611977933
AHL,2003,12,4,3,24.05,25.75,24.0,25.0,6085900.0,24.46,24.84,24.3,24.84,25200.0,Finance,Property-Casualty Insurers,"May,23,2002",2003-12-04,0.07958508173626405,0.03575980895675521
AHP,2013,11,6,2,20.009,20.58,19.5,19.5,8945.0,17.48,17.6,17.37,17.51,88105.0,Consumer Services,Real Estate Investment Trusts,1968,2013-11-06,0.08993506689528594,0.038648011791564886
AHPA,2017,1,5,3,9.7501,9.9,9.75,9.85,18600.0,9.94,9.94,9.94,9.94,0.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,"December,4,2015",2017-01-05,0.0872375317383974,0.05140458322810989
AHPAU,2016,10,11,1,9.86,9.97,9.82,9.82,7740076.0,10.38,10.38,10.38,10.38,0.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,"December,4,2015",2016-10-11,0.05958399524820149,0.012399633667957268
AHT,2003,8,26,1,5.3857,5.4096,5.3857,5.3857,6217802.0,5.3079,5.3737,5.2959,5.3259,150064.0,Consumer Services,Real Estate Investment Trusts,"May,2003",2003-08-26,0.20078549529416026,0.04438353130992989
AI,1997,12,23,1,410.0,435.0,402.5,410.0,326350.0,108.76,115.0,108.76,115.0,4470.0,Finance,Finance/Investors Services,1989,1997-12-23,0.08545220630886032,0.0018594009484611887
AIMC,2006,12,15,4,14.29,14.29,13.36,13.5,5134619.0,16.74,16.85,16.47,16.61,70175.0,Capital Goods,Industrial Machinery/Components,2004,2006-12-15,0.13479966839198587,0.08019486330846744
AIMT,2015,8,6,3,24.1,27.0,17.5,17.5,7528303.0,12.73,13.0,12.47,12.47,129448.0,Health Care,Major Pharmaceuticals,"June,24,2011",2015-08-06,0.02158636118255821,0.00946575317706173
AIPT,2010,4,9,4,281.25,393.75,281.25,337.5,28.0,187.5,187.5,187.5,187.5,0.0,Health Care,Industrial Specialties,"April,23,2002",2010-04-09,0.10728047132454419,0.034403356300406765
AIRG,2016,8,12,4,8.0,8.37,7.3606,8.0,848654.0,9.63,10.1999,9.36,10.03,212324.0,Technology,Radio And Television Broadcasting And Communications Equipment,2003,2016-08-12,0.1721436334164644,0.05895031045248176
AIZ,2004,2,5,3,24.7,24.94,23.25,23.75,26464700.0,33.13,33.22,32.86,33.2,1273400.0,Finance,Accident &Health Insurance,"February,4,2004",2004-02-05,0.16682202669512014,0.0710298977720234
AKAM,1999,10,29,4,145.188,166.0,110.0,145.188,11468800.0,48.688,51.125,46.5,50.5,1499900.0,Miscellaneous,Business Services,"August,20,1998",1999-10-29,-0.00029044232047323825,0.0010513650541548582
AKAO,2014,3,12,2,14.3,14.49,12.81,12.85,3362057.0,10.44,10.575,9.94,10.18,78842.0,Health Care,Major Pharmaceuticals,"June,2002",2014-03-12,0.10942602329112118,0.05188961131107434
AKBA,2014,3,20,3,26.695,28.5,20.62,22.9,4677213.0,13.0,13.16,12.87,12.87,119636.0,Health Care,Major Pharmaceuticals,"February,27,2007",2014-03-20,0.08822685541110126,0.023345766694591995
AKER,2009,9,15,1,70.2,70.2,70.2,70.2,25.0,13.7592,13.7592,13.7592,13.7592,0.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,"March,8,1989",2009-09-15,0.39190060278176325,0.13599359015867873
AKTS,2015,5,28,3,2.5,2.5,2.5,2.5,100.0,4.15,4.5,4.15,4.45,9800.0,Public Utilities,Telecommunications Equipment,2014,2015-05-28,0.02704633495049905,0.0028762241247924985
AKTX,2013,5,7,1,250.0,250.0,250.0,250.0,2.0,59.9,59.9,59.9,59.9,0.0,Health Care,Major Pharmaceuticals,2005,2013-05-07,0.15988897049104558,0.07162495067700786
AL,2011,4,19,1,27.95,28.4,26.75,27.25,20033208.0,24.6,24.9,24.12,24.19,748897.0,Technology,Diversified Commercial Services,"February,2010",2011-04-19,0.11942704118592996,0.018113431342926704
ALDR,2014,5,8,3,10.03,10.652,9.5,10.35,1950841.0,30.19,30.6,27.55,28.15,317454.0,Health Care,Major Pharmaceuticals,"January,2004",2014-05-08,0.06077000382699923,0.043542757470367004
ALDX,2014,5,2,4,7.2,7.69,6.01,7.5,540615.0,9.33,9.45,9.33,9.45,3512.0,Health Care,Major Pharmaceuticals,"August,13,2004",2014-05-02,0.06547204724363236,0.0814001101505351
ALGN,2001,1,26,4,17.313,18.25,13.688,14.75,10115400.0,4.45,4.75,4.0,4.32,100900.0,Health Care,Industrial Specialties,"March,1997",2001-01-26,-0.06534613356193886,-0.005078956889434588
ALGT,2006,12,8,4,25.1,26.25,24.0,24.0,5540965.0,36.46,36.58,34.22,34.53,92317.0,Transportation,Air Freight/Delivery Services,1997,2006-12-08,0.1187347300519177,0.08343084366303775
ALIM,2010,4,22,3,11.0,11.23,11.0,11.0,2028559.0,8.48,8.66,7.96,8.02,46082.0,Health Care,Major Pharmaceuticals,"June,4,2003",2010-04-22,0.10342105360154377,0.10458336137915211
ALLE,2013,11,18,0,48.475,50.0,47.49,49.75,587184.0,52.84,52.92,52.11,52.19,529583.0,Consumer Services,Diversified Commercial Services,"May,9,2013",2013-11-18,0.07915189526226923,0.09241460803510751
ALLT,2006,11,16,3,13.81,15.53,13.81,14.5,5690914.0,5.27,5.35,5.18,5.19,14708.0,Technology,Computer Communications Equipment,"November,12,1996",2006-11-16,0.08086960078959111,0.07807437560090247
ALLY,2014,1,28,1,25.9677,25.9677,25.8065,25.9677,531340.0,20.68,20.8398,20.4,20.58,2826997.0,Finance,Finance: Consumer Services,1919,2014-01-28,0.05709867209880646,0.011037945079408295
ALNY,2004,5,28,4,6.01,6.47,6.0,6.1,785053.0,7.42,7.5,7.4,7.5,16372.0,Health Care,Major Pharmaceuticals,"June,14,2002",2004-05-28,0.05961073618945424,-0.03000937938305582
ALPN,2009,9,21,0,0.0004,0.0004,0.0004,0.0004,25450.0,0.0001,0.0001,0.0001,0.0001,0.0,Health Care,Major Pharmaceuticals,"July,24,2017",2009-09-21,0.2981821696080487,0.19625109190287002
ALQA,1998,12,18,4,20.5625,20.5625,20.5625,20.5625,18.0,68.25,68.25,68.25,68.25,0.0,Health Care,Medical/Dental Instruments,"October,27,1997",1998-12-18,0.0665328829202076,0.15674102226659178
ALRM,2015,6,26,4,16.88,17.88,15.9,16.05,9088360.0,25.02,25.75,23.62,24.0,737470.0,Technology,Computer Software: Prepackaged Software,2000,2015-06-26,0.006482302472695668,0.022449801056519895
ALSK,1999,11,18,3,14.125,16.0,13.75,14.75,10634500.0,5.313,5.5,4.875,5.5,75200.0,Public Utilities,Telecommunications Equipment,"October,1998",1999-11-18,0.05804309375542741,0.05842411475803959
ALSN,2012,3,15,3,23.4,23.5,22.7,23.0,13928789.0,23.6,23.64,23.48,23.54,195687.0,Capital Goods,Auto Parts:O.E.M.,"June,22,2007",2012-03-15,0.15314574041125978,0.14684764902066624
ALV,1997,4,28,0,35.375,36.5,35.125,35.375,200500.0,30.125,30.375,29.813,30.0,37000.0,Capital Goods,Auto Parts:O.E.M.,1997,1997-04-28,0.09768233427650153,0.0004574724543181762
ALXN,1996,2,28,2,2.2812,2.375,2.125,2.2812,3051600.0,2.7812,3.0312,2.7812,3.0,329600.0,Health Care,Major Pharmaceuticals,"January,1992",1996-02-28,0.1577497618586218,0.06726024768125287
AM,2014,11,5,2,28.03,30.77,27.82,30.5,30912742.0,23.7,25.01,23.45,24.67,687382.0,Public Utilities,Natural Gas Distribution,"September,23,2013",2014-11-05,0.0676195913825483,0.04785414955538208
AMBA,2012,10,10,2,6.06,6.85,6.0,6.71,3566608.0,18.09,19.15,17.55,18.89,1447368.0,Technology,Semiconductors,"January,15,2004",2012-10-10,0.06101179659338111,0.0745525520136729
AMBC,2013,5,1,2,20.0,21.48,18.0,18.61,922601.0,30.18,30.24,28.59,29.75,614947.0,Finance,Property-Casualty Insurers,"April,29,1991",2013-05-01,0.11906778874778459,0.05577687893139411
AMBR,2014,3,21,4,17.0,17.9,16.2,17.5,5235127.0,9.23,9.46,8.95,8.97,53766.0,Technology,Computer Software: Prepackaged Software,1990,2014-03-21,0.0999918014402065,0.024081105348725675
AMC,2013,12,18,2,18.9,19.79,18.9,19.18,15026351.0,25.4,25.63,24.21,24.64,481146.0,Consumer Services,Movies/Entertainment,"June,6,2007",2013-12-18,0.07821113616188681,0.03215261477164521
AMCN,2007,11,7,2,20.9,22.71,19.2,19.5,11907600.0,6.22,6.52,6.1,6.38,153954.0,Technology,Advertising,"April,12,2007",2007-11-07,0.007148182951819798,0.029498046160733947
AMCX,2011,6,16,3,35.49,35.49,31.0,31.15,1827551.0,38.34,38.97,37.765,38.33,326681.0,Consumer Services,Television Services,"March,9,2011",2011-06-16,0.018143529827509275,0.006794633560342338
AMDA,2014,2,13,3,970.2,1170.0,954.0,1108.8,10898.0,115.2,125.64,115.2,125.64,1014.0,Health Care,Medical/Dental Instruments,"December,10,1996",2014-02-13,0.07384188805192239,0.020909096389239618
AMEH,2008,9,8,0,32.5,32.5,32.5,32.5,10.0,0.3,0.3,0.3,0.3,0.0,Consumer Services,Professional Services,"June,2001",2008-09-08,-0.024391918014825747,-0.08771732927627515
AMG,1997,11,21,4,17.667,17.959,17.167,17.667,4679700.0,16.917,17.209,16.5,17.209,296400.0,Finance,Investment Managers,"December,1993",1997-11-21,0.1425269653451775,0.03667909099348582
AMH,2013,8,1,3,15.6,16.74,15.5,15.59,21094670.0,18.22,18.39,18.19,18.34,674185.0,Consumer Services,Real Estate Investment Trusts,"June,23,2011",2013-08-01,0.11403869460270255,0.06509763851359741
AMID,2011,7,27,2,20.95,21.33,20.65,21.0,2423557.0,20.55,21.37,20.55,21.11,7420.0,Public Utilities,Natural Gas Distribution,"August,20,2009",2011-07-27,0.024931823083437724,-0.0174970805182662
AMKR,1998,5,1,4,13.313,13.563,11.75,13.313,23597300.0,9.75,10.0,9.75,9.88,659000.0,Technology,Semiconductors,1986,1998-05-01,0.18398493228080476,0.11033984670835525
AMMA,2016,10,6,3,4.19,5.47,3.7,4.99,97267.0,1.8,1.84,1.55,1.82,74413.0,Consumer Services,Services-Misc. Amusement & Recreation,"February,12,2015",2016-10-06,0.04503405123118748,0.028575102778979906
AMOV,2001,2,7,2,3.521,3.521,3.521,3.521,600.0,3.0735,3.0735,2.8,2.935,20400.0,Public Utilities,Telecommunications Equipment,"September,25,2000",2001-02-07,-0.08589077490787088,-0.055598612739313
AMP,2005,9,15,3,37.01,38.1,37.0,38.02,1529800.0,45.9,46.0,45.2,45.2,760200.0,Finance,Investment Managers,1983,2005-09-15,0.02455440131887915,0.01705653903972794
AMPH,2014,6,25,2,8.75,8.95,6.67,7.0,4159688.0,18.0,18.14,17.79,17.98,481114.0,Health Care,Major Pharmaceuticals,"February,29,1996",2014-06-25,0.058609548100879615,0.04521820390666616
AMRC,2010,7,22,3,10.17,10.9,10.15,10.25,3445546.0,14.5,14.64,14.28,14.44,68762.0,Basic Industries,Engineering & Construction,"April,25,2000",2010-07-22,-0.020306700874738837,-0.11506868960780897
AMRK,2014,3,17,0,13.3,13.69,12.49,12.49,34145.0,10.1,10.2,10.0,10.2,9828.0,Basic Industries,Other Specialty Stores,"April,9,1965",2014-03-17,0.07999366147492867,0.03376193424077063
AMRS,2010,9,28,1,247.5,261.6,247.2,247.5,159406.0,307.5,314.55,296.25,304.8,13531.0,Basic Industries,Major Chemicals,"July,17,2003",2010-09-28,-0.026474094627645064,0.06289966337141822
AMSF,2005,11,18,4,9.0,9.17,8.12,9.02,3272478.0,13.02,13.21,12.75,12.78,313541.0,Finance,Property-Casualty Insurers,1985,2005-11-18,0.04828097051639047,0.019507496936776426
AMT,1998,2,27,4,17.375,18.0,17.375,17.375,50000.0,26.813,27.25,26.0,26.56,399300.0,Consumer Services,Real Estate Investment Trusts,1995,1998-02-27,0.14771810215068595,0.09762404976747996
AMX,2001,2,7,2,3.4,3.4667,3.3167,3.4584,111600.0,3.065,3.1167,2.8583,2.8583,55935000.0,Public Utilities,Telecommunications Equipment,"September,25,2000",2001-02-07,-0.08589077490787088,-0.055598612739313
AMZN,1997,5,15,3,1.959,2.5,1.927,1.959,72072000.0,7.631,7.886,7.584,7.66,8600400.0,Consumer Services,Catalog/Specialty Distribution,"July,1994",1997-05-15,0.1334291146683463,0.024194833370033635
ANAB,2017,1,26,3,17.0,17.72,15.17,16.0,3318286.0,113.51,126.23,112.47,124.98,479412.0,Health Care,Major Pharmaceuticals,"November,2005",2017-01-26,0.05955715506235762,0.07429090487903546
